,power(kW),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,month,weekday,day,tire_type_All-year tires,tire_type_Summer tires,tire_type_Winter tires,driving_style_Fast,driving_style_Moderate,driving_style_Normal,trip_distance(km)
132,111.0,5.7,1.0,0.0,0.0,11.399999999999991,0.0,0.0,7.0,4.0,4.0,0,1,0,0,1,0,51.7
133,88.0,9.0,0.0,1.0,1.0,13.149999999999991,1.0,0.0,8.0,0.0,31.0,0,1,0,0,1,0,114.0
134,150.0,27.48,1.0,1.0,1.0,16.404999999999994,0.0,1.0,10.0,2.0,21.0,0,1,0,0,0,1,94.0
135,85.0,2.91,1.0,1.0,0.0,18.254999999999992,0.0,0.0,4.0,5.0,18.0,0,0,1,0,0,1,19.0
136,35.0,6.7,1.0,1.0,1.0,15.624999999999991,0.0,1.0,12.0,3.0,21.0,0,0,1,0,0,1,42.0
137,80.0,1.0,0.0,0.0,0.0,14.22499999999999,0.0,0.0,1.0,4.0,31.0,1,0,0,0,0,1,8.2
138,85.0,5.0,1.0,0.0,1.0,12.04999999999999,0.0,0.0,5.0,4.0,4.0,0,1,0,0,1,0,43.0
139,111.0,14.3,1.0,1.0,0.0,14.84999999999999,0.0,1.0,12.0,2.0,11.0,0,0,1,0,0,1,79.0
140,60.0,13.0,1.0,0.0,0.0,18.114999999999988,1.0,0.0,6.0,4.0,10.0,0,0,1,0,0,1,69.0
141,88.0,16.91,0.0,0.0,0.0,19.56999999999999,0.0,0.0,9.0,3.0,2.0,1,0,0,0,0,1,80.5
142,88.0,8.83,0.0,0.0,0.0,16.71499999999999,0.0,0.0,6.0,1.0,18.0,1,0,0,0,0,1,71.1
143,80.0,2.8,0.0,0.0,0.0,13.90999999999999,0.0,0.0,1.0,2.0,1.0,1,0,0,0,0,1,17.9
144,88.0,20.2,0.0,0.0,0.0,17.47499999999999,0.0,0.0,1.0,5.0,12.0,1,0,0,0,0,1,103.3
