id,y,power(kW),quantity(kWh),odometer,consumption(kWh/100km),ecr_deviation,month,weekday,day,tire_type,city,motor_way,country_roads,driving_style,A/C,park_heating
2742,-0.21568627450980393,-0.5421686746987951,-0.23809523809523808,0.0458357670004421,0.03548387096774175,0.05862831858407105,7,1,26,2.0,1,1,1,1.0,1,0
2747,0.21568627450980393,0.0963855421686747,-0.1523809523809524,-0.7555737699627931,-0.5822580645161292,0.07707154752174974,6,5,30,3.0,1,1,0,2.0,0,0
2749,0.8392156862745097,-0.37349397590361444,0.34880952380952374,-0.07236139391846758,-0.4612903225806453,-0.6227876106194692,6,2,22,3.0,1,0,1,1.0,0,0
2750,-0.45098039215686275,0.6265060240963856,-0.19047619047619044,0.16047036196831768,1.130645161290322,0.6537610619469026,11,2,18,3.0,1,0,1,2.0,0,1
2753,-1.0392156862745099,0.060240963855421686,-0.15119047619047613,-0.6107864428876146,-0.00806451612903237,-0.0453539823008846,9,5,30,3.0,1,0,0,2.0,0,0
2755,-0.2549019607843137,-0.5421686746987951,0.035714285714285796,1.3488958949817516,1.0322580645161286,1.425884955752213,3,3,18,2.0,1,1,1,1.0,0,1
2759,0.7725490196078433,-0.37349397590361444,0.2607142857142856,-0.6851614610392753,-0.5209677419354839,-0.9258849557522125,4,1,24,3.0,1,0,1,1.0,0,0
2761,3.588235294117647,2.3855421686746987,5.535714285714286,0.034476861069608795,1.7322580645161285,1.5896017699115048,10,0,29,2.0,1,1,1,1.0,0,0
2763,-0.2901960784313725,0.0963855421686747,-0.33571428571428574,-0.8707375866842644,-0.06935483870967765,0.07707154752174974,12,2,27,3.0,1,0,0,2.0,0,0
2772,-0.6058823529411764,0.0963855421686747,-0.5297619047619048,-0.36604074362110306,0.3596774193548387,0.07707154752174974,1,6,26,3.0,1,0,0,2.0,0,0
2773,-0.2549019607843137,-0.5421686746987951,-0.35714285714285715,0.6871363617295225,-0.2338709677419356,-0.3108407079646018,10,4,19,2.0,1,1,1,1.0,0,1
2774,-0.17254901960784308,-0.37349397590361444,-0.5952380952380952,1.4134867646157172,0.0419354838709677,-0.1537610619469024,4,4,19,3.0,0,1,1,1.0,0,0
