manufacturer,power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,trip_distance(km),month,weekday,day
Volkswagen,85,4.0,2,1,0,1,3,11.2,0,0,45.0,-5.6,36.0,11,4,11
Volkswagen,85,3.1,3,1,1,1,2,16.3,0,0,49.0,-0.5,19.0,7,1,31
Volkswagen,85,3.6,3,1,1,1,2,17.9,0,0,45.0,1.1,20.0,6,3,8
Volkswagen,85,3.48,2,1,1,1,2,17.4,0,0,51.0,0.6,20.0,11,2,18
Volkswagen,85,0.3,3,1,0,0,2,13.6,0,0,20.0,-3.2,2.0,9,6,3
Volkswagen,85,2.48,2,1,0,1,2,11.8,0,0,43.0,-5.0,21.0,2,1,28
Volkswagen,85,1.92,3,1,1,1,3,9.6,0,0,46.0,-7.2,20.0,4,1,19
Volkswagen,85,2.24,3,1,1,1,2,10.2,0,0,40.0,-6.6,22.0,4,3,30
Volkswagen,85,0.2,3,1,0,0,2,11.4,0,0,24.0,-5.4,2.0,9,6,3
Volkswagen,85,7.36,3,0,1,0,3,13.1,0,0,80.0,-3.7,71.0,9,0,17
Volkswagen,85,4.0,2,1,1,1,1,20.0,0,1,50.0,3.2,20.0,10,4,30
Volkswagen,85,11.44,3,0,1,0,2,11.8,0,0,66.0,-5.0,87.0,7,0,9
Volkswagen,85,0.3,3,1,0,0,2,13.0,0,0,25.0,-3.8,2.0,5,1,16
Volkswagen,85,10.44,3,0,1,1,2,13.0,0,0,85.0,-3.8,82.0,8,5,26
Volkswagen,85,10.86,3,0,1,0,3,13.8,0,1,78.0,-3.0,101.0,10,3,11
Volkswagen,85,11.53,3,0,0,1,2,11.9,0,0,48.0,-4.9,58.0,5,5,5
Volkswagen,85,16.65,2,0,1,0,2,15.2,0,1,57.0,-1.6,35.0,12,3,7
Volkswagen,85,1.66,3,1,1,1,3,8.3,0,0,51.0,-8.5,20.0,5,3,19
Volkswagen,85,0.22,3,1,0,0,3,11.1,0,0,16.0,-5.7,2.0,8,4,7
Volkswagen,85,12.04,2,0,0,1,3,16.6,0,1,58.0,-0.2,75.0,1,3,17
Volkswagen,85,17.19,2,0,1,0,3,15.7,0,1,72.0,-1.1,87.0,2,1,27
Volkswagen,85,5.21,3,1,0,0,1,15.9,0,0,13.0,-0.9,5.0,5,5,12
Volkswagen,85,3.24,3,1,1,1,3,9.0,0,0,38.0,-7.8,36.0,9,4,23
Volkswagen,85,3.6,3,1,1,1,2,17.9,0,0,49.0,1.1,20.0,7,0,24
Volkswagen,85,2.6,2,1,1,1,2,13.2,0,0,27.0,-3.6,20.0,11,4,17
Volkswagen,85,20.8,2,0,1,0,2,12.0,0,0,69.0,-4.8,173.0,10,6,21
Volkswagen,85,19.32,3,1,1,1,3,12.0,0,0,67.0,-4.8,161.0,10,3,6
Volkswagen,85,3.6,2,1,1,1,2,18.2,0,0,52.0,1.4,20.0,12,4,15
Volkswagen,85,3.17,2,0,1,0,2,9.9,0,0,53.0,-6.9,32.0,4,4,10
Volkswagen,85,9.32,3,0,1,0,2,11.1,0,0,55.0,-5.7,84.0,9,6,25
Volkswagen,85,1.3,3,1,1,1,2,7.1,0,0,45.0,-9.7,19.0,6,4,30
Volkswagen,85,0.29,2,1,0,0,3,14.9,0,0,17.0,-1.9,2.0,12,4,2
Volkswagen,85,1.4,3,1,1,1,2,7.6,0,0,50.0,-9.2,19.0,7,3,13
Volkswagen,85,4.62,2,1,0,1,2,13.2,0,0,33.0,-3.6,35.0,12,5,19
