,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),user_id,month,weekday,day
8662,49.0,10.92,111636.0,3.0,1,0,1,1.0,10.96,0,0,-2.539999999999999,99.6,Tesla_Model_S_2015,6,1,28
8180,49.0,8.76,91180.0,3.0,1,1,1,1.0,11.39,1,0,-2.1099999999999994,103.6,Tesla_Model_S_2015,8,0,3
14374,49.0,6.28,2712.0,3.0,0,1,0,1.0,12.09,0,0,-0.4100000000000001,52.1,Tesla_Model_S_2015,9,4,13
1437,278.0,29.0,140941.0,2.0,0,1,1,1.0,28.34,0,0,12.239999999999998,138.0,Tesla_Model_S_2015,1,0,3
17492,88.0,17.33,42629.0,3.0,1,1,1,2.0,13.81,0,0,2.305746737554374,125.5,Tesla_Model_S_2015,1,5,11
8193,49.0,8.7,185158.0,3.0,1,1,1,1.0,12.59,0,0,-0.91,83.0,Tesla_Model_S_2015,6,4,14
19081,35.0,9.0,160466.0,3.0,1,0,1,1.0,14.29,0,0,1.7899999999999991,63.0,Tesla_Model_S_2015,5,6,24
9314,49.0,4.04,117218.0,3.0,0,1,0,1.0,12.02,0,0,-1.4800000000000004,54.7,Tesla_Model_S_2015,9,6,11
19965,35.0,5.0,115922.0,3.0,1,1,1,1.0,12.2,0,0,-0.3000000000000007,41.0,Tesla_Model_S_2015,6,0,4
20417,35.0,6.4,41701.0,2.0,1,1,1,1.0,15.24,0,1,2.74,42.0,Tesla_Model_S_2015,4,3,2
15040,49.0,14.3,32646.0,2.0,0,1,1,3.0,16.85,0,0,4.350000000000001,64.6,Tesla_Model_S_2015,12,6,27
14701,49.0,4.02,22029.0,3.0,1,1,0,1.0,14.36,0,0,1.86,13.6,Tesla_Model_S_2015,6,4,26
18738,35.0,17.0,30734.0,3.0,1,1,1,1.0,16.83,0,1,4.329999999999998,101.0,Tesla_Model_S_2015,10,5,25
14675,49.0,6.46,58780.0,2.0,1,0,1,1.0,13.4,0,0,0.9000000000000004,48.2,Tesla_Model_S_2015,2,1,22
10704,49.0,11.19,87271.0,3.0,1,0,1,1.0,11.49,0,0,-2.01,97.4,Tesla_Model_S_2015,6,2,10
17224,88.0,5.58,23535.0,3.0,1,0,0,2.0,14.45,0,0,2.305746737554374,38.6,Tesla_Model_S_2015,1,6,13
18015,35.0,9.2,133848.0,2.0,1,1,1,1.0,18.04,0,1,5.539999999999999,51.0,Tesla_Model_S_2015,3,0,4
20317,35.0,4.8,49917.0,3.0,1,1,1,1.0,11.71,0,0,-0.7899999999999991,41.0,Tesla_Model_S_2015,7,2,29
9353,49.0,12.16,46667.0,3.0,1,0,1,1.0,10.74,1,0,-2.76,113.2,Tesla_Model_S_2015,7,2,31
8292,49.0,12.35,58241.0,2.0,1,1,1,1.0,13.15,0,0,-0.3499999999999996,93.9,Tesla_Model_S_2015,3,5,1
8413,49.0,10.32,145623.0,3.0,0,1,1,2.0,12.37,0,1,-1.1300000000000008,64.6,Tesla_Model_S_2015,10,0,16
