,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
11941,315.0,10.2,94527.0,3.0,1,1,0,2.0,27.08,0,0,12.279999999999998,40.0,4,5,17
15782,49.0,6.39,52538.0,3.0,1,0,1,1.0,13.2,0,0,0.6999999999999993,48.4,11,0,8
7698,315.0,4.7,125527.0,3.0,1,1,0,2.0,24.27,0,0,9.47,111.0,6,5,18
5812,88.0,4.55,46002.0,3.0,1,0,0,2.0,14.13,0,0,2.5732372740337426,32.2,3,4,13
12447,49.0,7.0,183373.0,3.0,1,0,1,1.0,13.41,0,0,-0.0899999999999998,52.2,5,1,14
11084,80.0,2.64,57920.0,2.0,1,0,1,2.0,18.63,0,1,3.629999999999999,86.0,2,6,28
6133,35.0,5.4,28570.0,3.0,1,1,1,1.0,12.86,0,0,0.3599999999999994,42.0,9,1,23
6900,88.0,18.89,78919.0,2.0,0,1,1,2.0,14.8,1,1,2.5732372740337426,119.0,11,3,26
6014,132.0,7.7,103249.0,1.0,1,0,1,1.0,25.8,0,1,9.2,35.0,1,4,28
24455,49.0,6.35,9679.0,2.0,0,1,0,3.0,15.0,0,0,2.5,59.2,12,4,6
12824,35.0,5.4,71453.0,2.0,1,1,1,1.0,12.56,1,0,0.0600000000000005,43.0,6,2,8
22421,88.0,16.14,18265.0,3.0,1,1,1,2.0,11.66,0,0,2.5732372740337426,138.4,10,4,19
9840,80.0,18.89,61757.0,3.0,1,0,1,2.0,18.4,0,0,3.3999999999999986,200.0,6,1,1
10033,85.0,11.72,68600.0,3.0,0,1,0,2.0,12.5,0,0,-0.1999999999999993,102.0,8,2,29
16432,85.0,16.56,95794.0,3.0,0,1,1,2.0,12.5,0,0,-0.1999999999999993,122.0,6,0,3
16019,85.0,4.4,62009.0,2.0,1,0,1,2.0,10.8,0,0,-1.8999999999999984,41.0,1,1,23
10071,35.0,14.1,68522.0,2.0,0,0,1,1.0,15.49,0,1,2.99,91.0,4,0,25
14680,88.0,13.93,68711.0,3.0,0,1,1,2.0,12.0,1,0,2.5732372740337426,115.0,8,3,20
3614,80.0,20.0,13254.0,2.0,0,1,1,1.0,16.61,0,0,1.6099999999999994,88.0,4,5,27
2282,88.0,8.89,16711.0,3.0,0,0,0,2.0,11.51,0,0,2.5732372740337426,77.3,9,6,23
15343,49.0,5.8,186722.0,3.0,1,0,1,1.0,12.21,0,0,-1.2899999999999991,47.5,6,2,26
18501,49.0,1.5,178252.0,2.0,1,1,1,1.0,12.44,0,0,-1.0600000000000005,22.6,3,0,4
2952,85.0,33.2,44877.0,2.0,0,1,0,2.0,12.4,0,0,-0.2999999999999989,268.0,4,5,8
17260,85.0,8.87,9302.0,2.0,1,0,1,1.0,15.3,0,1,2.6000000000000014,58.0,3,3,9
18182,85.0,11.68,113746.0,3.0,0,1,0,2.0,14.6,0,0,1.9000000000000004,81.0,9,3,26
21765,35.0,4.7,49328.0,3.0,1,1,1,1.0,11.46,0,0,-1.0399999999999991,41.0,7,2,22
288,315.0,7.1,7621.0,2.0,1,1,0,2.0,26.24,0,0,11.439999999999998,55.0,2,3,8
7940,85.0,18.39,26926.0,3.0,0,1,0,2.0,12.2,0,1,-0.5,87.0,10,2,18
5875,278.0,38.0,41119.0,2.0,1,1,1,1.0,23.06,0,0,6.959999999999997,142.0,9,3,28
12505,49.0,7.7,115792.0,3.0,0,1,1,1.0,11.34,0,0,-2.16,87.1,9,5,3
15725,85.0,7.15,107918.0,3.0,0,1,1,1.0,13.2,1,0,0.5,83.0,8,2,21
9934,315.0,40.1,66821.0,3.0,1,1,0,2.0,22.62,0,0,7.82,192.0,12,6,15
21155,278.0,20.0,144151.0,2.0,1,0,1,1.0,23.39,0,0,7.289999999999999,78.0,3,4,18
9823,49.0,13.1,118143.0,3.0,1,1,1,3.0,10.91,0,0,-2.59,120.1,9,2,14
20028,278.0,60.0,4609.0,3.0,1,1,1,1.0,17.24,0,0,1.139999999999997,348.0,5,4,6
12018,35.0,7.1,111321.0,2.0,1,1,1,1.0,16.9,0,1,4.399999999999999,42.0,3,1,20
11153,278.0,10.44,132544.0,3.0,1,0,1,1.0,22.27,0,0,6.169999999999998,41.0,7,0,19
4976,35.0,6.2,150427.0,2.0,1,1,1,1.0,14.76,0,1,2.26,42.0,11,2,27
