,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
10464,49.0,12.56,87621.0,3,1,1,1,1,11.11,0,0,-2.390000000000001,113.1,6,0,15
8380,49.0,7.4,125480.0,2,1,0,1,1,14.42,0,0,0.92,51.3,2,2,1
10374,49.0,7.58,125332.0,2,1,0,1,1,14.15,0,0,0.6500000000000004,23.0,1,6,29
10008,49.0,7.65,135853.0,3,1,1,1,1,10.99,0,0,-2.51,69.6,6,3,15
11033,49.0,6.82,37284.0,2,1,0,1,1,14.0,0,0,0.5,48.7,2,4,8
9714,49.0,3.17,145924.0,3,0,1,1,3,13.64,0,0,0.1400000000000005,21.8,10,4,20
10524,49.0,12.23,56488.0,2,1,1,1,1,13.83,0,0,0.33,106.4,1,5,25
8530,49.0,6.26,129288.0,3,1,0,1,1,11.66,0,0,-1.84,53.7,4,5,1
10215,49.0,12.93,83085.0,3,1,1,1,1,12.18,0,0,-1.3200000000000005,106.2,4,3,9
10947,49.0,5.49,139577.0,3,1,0,1,1,11.42,0,0,-2.08,33.2,8,5,5
10909,49.0,10.87,95143.0,3,1,0,1,1,11.11,0,0,-2.390000000000001,97.8,9,1,22
8906,49.0,5.37,35128.0,2,1,0,1,1,16.08,0,0,2.5799999999999983,38.4,12,5,22
10212,49.0,13.1,66315.0,3,1,1,1,1,11.49,0,0,-2.01,114.0,6,6,22
10249,49.0,9.3,93309.0,3,0,0,1,3,12.97,0,0,-0.5299999999999994,71.7,9,5,5
10744,49.0,5.8,18903.0,3,1,0,1,1,12.26,0,0,-1.2400000000000002,47.3,4,2,25
9249,49.0,3.09,165382.0,3,1,0,0,1,11.49,0,0,-2.01,0.5,8,2,29
10823,49.0,7.47,104613.0,2,1,0,1,1,14.53,0,0,1.0299999999999994,51.4,3,2,2
10510,49.0,1.77,70641.0,3,0,0,1,1,10.61,0,0,-2.890000000000001,22.1,9,5,6
9897,49.0,11.5,28906.0,3,1,0,1,1,10.8,0,0,-2.7,106.5,9,1,4
9641,49.0,6.5,98873.0,2,1,0,1,1,13.27,0,0,-0.2300000000000004,49.0,11,0,23
9489,49.0,11.19,87271.0,3,1,0,1,1,11.49,0,0,-2.01,97.4,6,2,10
8461,49.0,4.25,144939.0,3,1,1,1,1,12.52,0,0,-0.9800000000000004,71.9,10,5,7
10656,49.0,8.0,116143.0,3,0,1,0,3,11.44,0,0,-2.0600000000000005,75.9,9,2,7
10996,49.0,5.2,64125.0,3,1,0,1,2,10.72,0,0,-2.78,73.0,5,6,25
9680,49.0,10.4,78635.0,2,1,1,1,1,13.37,0,0,-0.1300000000000007,45.4,1,6,18
10112,49.0,3.5,169854.0,3,1,1,1,1,12.53,0,0,-0.9700000000000006,34.9,10,2,3
9422,49.0,6.54,161468.0,3,1,1,1,1,11.24,0,0,-2.26,24.5,7,3,5
10890,49.0,6.42,187007.0,3,1,0,1,1,12.71,0,0,-0.7899999999999991,50.5,7,1,2
10526,49.0,6.64,115629.0,3,0,1,0,3,11.34,0,0,-2.16,76.0,9,5,3
10397,49.0,10.22,46407.0,3,1,0,1,1,10.62,0,0,-2.880000000000001,96.2,7,2,24
9139,49.0,12.25,119493.0,3,0,1,1,3,13.56,1,0,0.0600000000000005,65.3,10,6,9
10758,49.0,10.02,102537.0,2,1,0,1,1,14.41,0,0,0.91,64.8,1,5,30
10615,49.0,6.74,38234.0,2,1,0,1,1,13.51,0,0,0.0099999999999997,42.8,3,6,3
10100,49.0,11.1,29007.0,3,1,0,1,1,11.01,0,0,-2.49,100.8,9,3,6
11004,49.0,8.58,156597.0,3,1,0,1,1,11.4,0,0,-2.1,69.1,5,2,9
8507,49.0,5.3,5116.0,3,0,1,1,2,12.13,0,0,-1.3699999999999992,46.3,8,5,20
9323,49.0,6.0,181666.0,3,0,1,1,3,13.12,0,0,-0.3800000000000008,23.0,4,5,20
9255,49.0,6.89,174280.0,2,1,0,1,1,14.51,0,0,1.0099999999999998,47.5,12,3,13
10310,49.0,2.86,183239.0,3,1,1,1,1,14.17,0,0,0.6699999999999999,40.2,5,6,12
8270,49.0,10.22,101518.0,2,1,0,1,1,13.94,0,0,0.4399999999999995,73.3,1,0,11
9189,49.0,6.11,130788.0,3,1,0,1,1,12.94,0,0,-0.5600000000000005,47.2,4,5,22
8855,49.0,6.14,157800.0,3,1,0,1,1,11.02,0,0,-2.4800000000000004,55.7,5,0,28
9585,49.0,3.15,170998.0,3,0,1,0,1,10.43,0,0,-3.0700000000000003,44.3,10,0,8
8712,49.0,3.79,160988.0,3,0,1,1,1,11.74,0,0,-1.7599999999999998,48.9,7,6,1
8588,49.0,11.09,51687.0,3,1,0,1,1,11.61,0,0,-1.8900000000000008,95.5,10,2,23
8945,49.0,7.8,160397.0,3,1,1,0,3,11.82,0,0,-1.6799999999999995,66.0,6,0,25
10960,49.0,7.42,100325.0,2,1,0,1,1,12.5,0,0,-1.0,65.9,12,6,20
10640,49.0,4.67,63474.0,3,1,0,1,1,11.27,0,0,-2.2300000000000004,80.2,5,2,21
11145,49.0,13.0,100182.0,2,0,1,1,1,13.13,0,0,-0.3699999999999992,99.0,12,6,20
8782,49.0,12.95,57456.0,2,1,0,1,1,13.45,0,0,-0.0500000000000007,98.9,2,5,15
9639,49.0,6.76,130689.0,3,1,0,1,1,13.08,1,0,-0.4199999999999999,51.7,4,2,19
8312,49.0,3.0,170344.0,3,1,0,1,1,11.62,1,1,-1.8800000000000008,18.4,10,4,5
10272,49.0,5.7,109015.0,3,1,1,0,2,10.43,0,0,-3.0700000000000003,36.8,5,4,20
11070,49.0,11.13,105707.0,3,0,1,1,1,13.71,0,0,0.2100000000000008,81.2,3,4,25
10476,49.0,3.94,179427.0,2,0,1,1,3,14.12,0,0,0.6199999999999992,57.0,3,5,23
10131,49.0,5.71,160615.0,3,1,0,1,1,11.68,0,0,-1.8200000000000005,48.9,6,3,28
9341,49.0,8.27,14086.0,2,1,0,1,1,15.12,0,0,1.6199999999999992,54.7,2,6,5
8741,49.0,6.89,126070.0,2,1,0,1,1,14.21,0,0,0.7100000000000009,48.5,2,2,15
9492,49.0,4.52,44953.0,3,0,0,1,1,11.49,0,0,-2.01,28.3,7,3,4
8433,49.0,10.83,51591.0,3,1,0,1,1,11.94,0,0,-1.5600000000000005,90.7,10,0,21
8930,49.0,1.7,154701.0,3,0,0,1,1,12.73,0,0,-0.7699999999999996,58.6,4,5,14
10682,49.0,5.1,128050.0,3,1,1,1,1,11.67,0,0,-1.83,43.7,3,3,23
8684,49.0,3.0,35755.0,2,1,1,1,1,13.87,0,0,0.3699999999999992,81.1,1,6,6
10743,49.0,16.63,26177.0,3,1,1,1,1,12.602472035794209,0,0,-0.8975279642058185,51.6,7,0,16
10380,49.0,12.7,3900.0,3,0,1,1,1,13.44,0,0,-0.0600000000000005,94.5,8,2,3
8217,49.0,15.45,64595.0,3,1,1,1,1,11.25,0,0,-2.25,87.1,5,1,27
9346,49.0,7.92,116961.0,3,0,1,1,1,10.35,0,0,-3.1500000000000004,62.3,9,5,10
10198,49.0,3.56,173403.0,2,1,0,1,1,14.68,0,0,1.1799999999999995,16.3,11,4,23
9169,49.0,11.45,96468.0,3,1,0,1,1,11.85,0,0,-1.6500000000000004,96.6,10,1,13
9984,49.0,7.09,13830.0,2,1,0,1,1,14.47,0,0,0.9700000000000006,49.0,1,1,31
10057,49.0,11.39,26379.0,3,1,0,1,1,11.13,0,0,-2.369999999999999,102.3,7,3,19
10592,49.0,12.0,9143.0,3,1,0,1,1,12.11,0,0,-1.3900000000000006,99.1,11,2,2
9141,49.0,9.21,6947.0,3,0,0,1,1,11.57,0,0,-1.93,79.6,9,6,18
10282,49.0,6.54,146951.0,3,1,0,1,1,13.19,0,0,-0.3100000000000005,49.6,11,3,9
8511,49.0,4.34,24634.0,3,1,1,1,1,12.602472035794209,0,0,-0.8975279642058185,74.7,7,4,6
9109,49.0,12.1,13632.0,2,1,0,1,1,14.47,0,0,0.9700000000000006,83.6,1,5,28
8237,49.0,8.1,139021.0,3,0,1,1,1,11.04,0,0,-2.460000000000001,82.3,8,2,2
10022,49.0,4.05,90484.0,3,0,0,1,1,10.84,0,0,-2.66,78.7,7,4,24
10418,49.0,8.54,103348.0,2,1,1,1,1,14.62,0,0,1.1199999999999992,58.4,2,6,7
10522,49.0,5.45,133085.0,3,1,0,1,1,12.95,0,0,-0.5500000000000007,42.1,5,5,20
8429,49.0,6.43,172611.0,3,1,0,1,1,13.59,0,0,0.0899999999999998,47.3,11,4,9
10541,49.0,13.6,8810.0,3,1,0,1,1,12.51,0,0,-0.9900000000000002,108.7,10,2,26
