,power(kW),trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,park_heating,avg_speed(km/h),ecr_deviation,month,weekday,day
120,100.0,31.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,3.0,4.0
121,100.0,70.0,8.36,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,3.0,4.0
122,100.0,75.0,19.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,2.0,3.0
123,100.0,117.0,9.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,-5.21,11.0,2.0,3.0
124,100.0,88.0,27.6,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,11.0,1.0,2.0
125,100.0,98.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,11.0,1.0,2.0
126,100.0,23.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,11.0,0.0,1.0
127,100.0,51.0,12.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,4.0,29.0
128,100.0,71.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,4.0,29.0
129,100.0,59.0,21.6,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,4.0,22.0
130,100.0,185.0,22.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,4.0,22.0
131,100.0,29.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,3.0,21.0
132,100.0,89.0,9.2,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,2.0,20.0
133,100.0,59.0,23.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,1.0,19.0
134,100.0,57.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,1.0,19.0
135,100.0,59.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,1.0,19.0
136,100.0,98.0,12.7,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,0.0,18.0
137,100.0,39.0,26.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,6.0,17.0
138,100.0,10.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,6.0,17.0
139,100.0,83.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,5.0,16.0
140,100.0,127.0,17.2,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,3.0,14.0
141,100.0,78.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,1.0,12.0
142,100.0,99.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,0.0,11.0
143,100.0,76.0,18.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,5.0,9.0
144,100.0,39.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,5.0,9.0
145,100.0,80.0,9.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,5.0,9.0
146,100.0,98.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,3.0,7.0
147,100.0,102.0,14.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,2.0,6.0
148,100.0,64.0,21.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.97,10.0,1.0,5.0
