,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
12423,85.0,22.8,11679.0,3.0,1,1,1,2.0,12.6,0,0,-0.0999999999999996,181.0,8,4,21
1843,278.0,13.0,107996.0,2.0,1,0,1,1.0,24.58,0,0,8.479999999999997,36.0,12,2,18
9893,49.0,6.68,171405.0,3.0,1,0,1,1.0,12.49,0,0,-1.0099999999999998,53.5,10,1,16
13198,85.0,2.06,13198.0,3.0,1,0,1,1.0,9.4,0,0,-3.299999999999999,22.0,9,1,8
7239,85.0,8.04,40607.0,2.0,0,1,0,2.0,15.7,0,1,3.0,60.0,2,5,3
1717,278.0,18.0,89767.0,3.0,1,0,1,1.0,20.64,0,0,4.539999999999999,55.0,5,0,20
22875,278.0,14.0,145118.0,2.0,1,0,1,1.0,25.84,0,0,9.739999999999998,20.0,4,2,6
17747,35.0,13.8,60293.0,2.0,1,1,1,3.0,18.9,0,1,6.399999999999999,73.0,12,1,22
19665,35.0,10.9,154941.0,2.0,1,1,1,1.0,17.03,0,1,4.530000000000001,64.0,2,0,10
20132,35.0,10.7,95197.0,3.0,1,1,1,1.0,12.89,0,0,0.3900000000000005,83.0,6,3,1
22611,278.0,61.0,26461.0,2.0,0,1,1,1.0,26.07,0,0,9.97,234.0,3,2,8
19788,35.0,5.6,112322.0,3.0,1,1,1,1.0,13.33,0,1,0.8300000000000001,42.0,4,3,5
9003,49.0,3.59,12484.0,2.0,1,0,1,1.0,14.81,0,0,1.3100000000000005,71.8,1,5,7
8264,49.0,3.13,15791.0,2.0,1,1,0,1.0,13.28,0,0,-0.2200000000000006,57.9,3,5,10
23004,278.0,8.0,29425.0,3.0,1,0,1,1.0,25.0,0,0,8.899999999999999,32.0,4,0,10
18012,35.0,6.0,162431.0,3.0,1,1,1,1.0,14.29,0,0,1.7899999999999991,42.0,7,4,3
9084,49.0,11.55,69270.0,3.0,1,1,1,1.0,10.9,0,0,-2.6,106.0,8,1,12
14393,49.0,9.07,6868.0,2.0,0,1,1,1.0,15.09,0,0,2.59,22.9,11,6,17
9919,49.0,4.42,114820.0,3.0,1,0,1,1.0,11.54,0,0,-1.9600000000000009,46.6,8,0,22
22415,278.0,41.0,67052.0,3.0,1,0,1,1.0,20.55,0,0,4.449999999999999,200.0,8,1,14
8611,49.0,5.5,131161.0,3.0,0,1,0,1.0,11.39,0,0,-2.1099999999999994,72.9,4,4,28
1910,278.0,23.0,86505.0,3.0,1,0,1,1.0,18.63,0,0,2.5299999999999976,99.0,4,0,15
1809,278.0,14.66,130268.0,3.0,0,0,1,1.0,25.9,0,0,9.799999999999995,79.0,5,5,29
22257,278.0,27.0,62799.0,3.0,1,1,1,1.0,20.92,0,0,4.82,2.0,7,1,3
20068,35.0,12.7,155930.0,2.0,1,1,1,1.0,17.16,0,1,4.66,74.0,2,0,24
2364,278.0,19.0,145643.0,3.0,0,0,1,1.0,22.14,0,0,6.039999999999999,74.0,4,4,29
17158,88.0,13.86,12199.0,3.0,0,0,0,2.0,11.64,0,0,2.338644558918237,119.1,6,3,7
8251,49.0,5.02,186392.0,3.0,0,1,0,1.0,12.56,0,0,-0.9399999999999996,48.2,6,0,24
9983,49.0,5.93,164499.0,3.0,1,0,1,1.0,12.62,0,0,-0.8800000000000008,47.0,8,1,14
22804,278.0,20.0,92570.0,3.0,1,1,1,1.0,20.0,0,0,3.899999999999999,121.0,6,4,14
22410,278.0,19.0,54031.0,2.0,1,0,1,1.0,26.0,0,0,9.9,111.0,3,2,28
10529,49.0,14.7,11830.0,2.0,1,0,1,1.0,15.14,0,0,1.6400000000000006,97.1,12,4,23
21840,132.0,1.74,105623.0,3.0,1,1,1,3.0,17.38,0,0,0.7799999999999976,70.0,4,2,27
19886,35.0,5.6,145289.0,3.0,1,1,1,1.0,13.33,0,0,0.8300000000000001,42.0,9,2,4
23065,278.0,32.0,29714.0,3.0,1,1,1,1.0,24.68,0,0,8.579999999999998,107.0,4,3,13
21290,132.0,4.5,33848.0,3.0,1,1,1,2.0,20.63,0,1,4.029999999999998,110.0,2,0,5
14520,49.0,14.54,32516.0,2.0,0,1,1,1.0,16.66,0,0,4.16,68.9,12,4,25
23295,278.0,57.0,109915.0,2.0,0,1,0,1.0,25.1,0,0,9.0,96.0,1,0,20
10051,49.0,12.22,51500.0,3.0,1,0,1,1.0,12.26,0,0,-1.2400000000000002,99.7,10,4,18
22910,278.0,31.0,44903.0,2.0,1,1,1,1.0,27.02,0,0,10.919999999999998,109.0,12,2,6
9520,49.0,13.0,100182.0,2.0,0,1,1,1.0,13.13,0,0,-0.3699999999999992,99.0,12,6,20
20262,35.0,7.1,58211.0,2.0,1,1,1,1.0,16.9,0,1,4.399999999999999,42.0,11,4,27
1997,278.0,25.0,43456.0,2.0,1,0,0,1.0,27.02,0,0,10.919999999999998,58.0,11,2,15
20878,132.0,25.0,57462.0,1.0,1,1,0,1.0,19.0,0,0,2.3999999999999986,134.0,2,2,20
6199,85.0,14.88,41448.0,2.0,0,1,0,2.0,17.79,0,1,5.09,48.0,2,2,7
18061,35.0,5.1,78333.0,2.0,1,1,1,1.0,12.14,0,0,-0.3599999999999994,42.0,9,0,19
6631,85.0,15.76,33131.0,2.0,0,1,0,1.0,16.3,0,1,3.6000000000000014,80.0,12,1,12
18405,35.0,10.0,84663.0,2.0,1,1,1,1.0,20.0,0,1,7.5,50.0,12,6,18
20066,35.0,6.5,127934.0,2.0,1,1,1,1.0,15.12,0,1,2.619999999999999,43.0,12,0,3
17984,35.0,8.8,129610.0,2.0,1,1,1,3.0,20.47,0,1,7.969999999999999,43.0,1,3,3
21754,132.0,16.3,91576.0,3.0,1,1,0,2.0,16.55,0,0,-0.0500000000000007,111.0,6,4,4
18603,35.0,9.7,55040.0,3.0,1,1,1,1.0,17.96,0,1,5.460000000000001,54.0,10,5,17
9652,49.0,9.44,54967.0,2.0,1,0,1,1.0,13.74,0,0,0.2400000000000002,68.7,12,0,23
18414,35.0,8.2,58382.0,2.0,1,1,1,1.0,19.52,0,1,7.02,42.0,12,1,1
