,manufacturer,model,year,version,power(kW),odometer,quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note,user_id,trip_distance(km),month,weekday,day
17318,Volkswagen,Golf,2016,e-Golf,85.0,68104.0,12.1,Electricity,2.0,1,0,1,3.0,17.8,0,0,46.0,5.100000000000001,Restreichweite 48km = Total 116km,Tesla_Model_S_2015,68.0,12,2,2
28288,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,31065.0,6.8,Electricity,2.0,1,1,1,3.0,16.19,0,1,,3.690000000000001,,Tesla_Model_S_2015,42.0,11,1,4
28447,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,23295.0,5.3,Electricity,3.0,1,1,1,3.0,12.62,0,0,,0.1199999999999992,,Tesla_Model_S_2015,42.0,6,3,26
2585,Tesla Motors,Model S,2017,75D,315.0,6945.0,42.3,Electricity,2.0,1,1,0,2.0,28.45,0,0,,13.65,,Tesla_Model_S_2015,22.0,2,5,3
30262,Mercedes-Benz,B-Klasse,2015,B250e,132.0,33848.0,4.5,Electricity,3.0,1,1,1,2.0,20.63,0,1,,4.029999999999998,,Tesla_Model_S_2015,110.0,2,0,5
7153,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,179640.0,5.5,Electricity,2.0,1,0,1,3.0,14.03,0,0,,0.5299999999999994,"Noch 7B, 42km RRW, Batterie 16-17°C, 16,8°C, 10 Solarstrom P&amp;C, 3,5h geladen, Ladeende 9,0°C, RRW 95km, Batterie 16-21°C, 18,4°C, 100%, 4.1. 17. 21. 23. 24. 26. 28.-30.1. 2.2. 5. 8. 9. 11. 12. 19. 24. 26. 27.2. 5.3. 9.3. 13.3. 14.3. 19.3. 22.3 23.3. 28.3.",Tesla_Model_S_2015,39.2,3,3,28
16986,Volkswagen,Golf,2016,e-Golf,85.0,86647.0,3.99,Electricity,2.0,1,0,1,3.0,12.9,0,0,49.0,0.200000000000001,10.5°C. Reichweite 80% = 115km,Tesla_Model_S_2015,31.0,4,6,10
15496,Kia,Soul,2016,Kia Soul EV,60.0,,11.48,Electricity,2.0,0,1,1,3.0,20.93,1,0,,6.629999999999999,,Tesla_Model_S_2015,67.0,1,2,23
13973,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,34621.0,7.69,Electricity,2.0,1,0,1,3.0,14.5,0,0,,1.0,"Noch 10 Balken, 79 km Reichweite, Mainova Ökostrom Novanatur, 4,25h geladen, Ladeende 5,8°C",Tesla_Model_S_2015,52.1,12,4,14
10653,Volkswagen,Golf,2014,e-Golf,85.0,31022.0,1.87,Electricity,3.0,1,0,1,3.0,8.5,0,0,43.0,-4.199999999999999,,Tesla_Model_S_2015,22.0,8,2,17
28238,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,33332.0,7.1,Electricity,2.0,1,1,1,3.0,16.9,0,1,,4.399999999999999,,Tesla_Model_S_2015,42.0,12,3,4
6511,Nissan,Leaf,2017,Black Edition,80.0,56735.0,12.98,Electricity,2.0,0,0,1,2.0,25.8,0,1,,10.8,,Tesla_Model_S_2015,66.0,1,2,27
26681,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,116005.0,4.8,Electricity,3.0,1,1,1,3.0,11.71,0,0,,-0.7899999999999991,,Tesla_Model_S_2015,41.0,6,1,5
14159,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,17825.0,14.73,Electricity,3.0,1,1,1,3.0,12.96,0,0,,-0.5399999999999991,"noch 1 Balken, 12 km Reichweite, Mainova Ökostrom Novanatur, 4,75h geladen, Ladeende 10,1°C, Autobahn 85-90 km/h",Tesla_Model_S_2015,113.7,4,2,11
19425,Nissan,Leaf,2013,Leaf ZE0,80.0,,2.6,Electricity,1.0,0,0,0,3.0,15.2,0,0,,0.1999999999999993,"1,1",Tesla_Model_S_2015,17.1,9,4,27
19257,Nissan,Leaf,2013,Leaf ZE0,80.0,,0.1,Electricity,1.0,0,0,0,3.0,16.3,0,0,,1.3000000000000007,"0,1",Tesla_Model_S_2015,0.9,11,4,15
7816,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,149803.0,7.33,Electricity,2.0,1,0,1,3.0,14.02,0,0,,0.5199999999999996,"Noch 6 Balken, 34km Reichweite, Mainova Ökostrom Novanatur, 4,25h geladen, Ladeende 6,5°C, RRW 94km, Batterie 12-17°C, 14,3°C, 100%",Tesla_Model_S_2015,52.3,1,4,12
28484,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,21349.0,9.7,Electricity,3.0,0,0,1,1.0,14.7,0,0,,2.2,,Tesla_Model_S_2015,66.0,5,6,25
23543,Hyundai,IONIQ,2017,Premium,88.0,9775.0,13.65,Electricity,3.0,1,1,1,2.0,11.95,0,0,,,,Tesla_Model_S_2015,114.3,4,5,21
10560,Volkswagen,Golf,2014,e-Golf,85.0,35011.0,5.25,Electricity,3.0,0,1,0,2.0,12.5,0,0,60.0,-0.1999999999999993,,Tesla_Model_S_2015,42.0,10,5,29
10230,Volkswagen,Golf,2014,e-Golf,85.0,46811.0,31.3,Electricity,2.0,0,1,0,1.0,15.4,0,0,70.0,2.700000000000001,,Tesla_Model_S_2015,203.0,5,5,6
8391,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,119623.0,13.63,Electricity,3.0,0,1,1,3.0,13.23,0,0,,-0.2699999999999996,"Noch 0 Balken, 0km Reichweite, Batterie 22-33°C, 25,6°C, 5,0%, 7,5h geladen, Mainova Ökostrom Novanatur, Ladeende 7,7°C, Batterie 17-26°C, 22,1°C, RRW 121km, 100%, Autobahn 90km/h",Tesla_Model_S_2015,64.6,10,0,10
2420,Tesla Motors,Model S,2017,75D,315.0,25324.0,9.7,Electricity,3.0,1,1,0,2.0,22.8,0,0,,8.0,,Tesla_Model_S_2015,160.0,8,5,25
8356,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,121695.0,6.5,Electricity,2.0,1,0,1,3.0,13.4,0,0,,-0.0999999999999996,"Noch 2 Balken, 10km Reichweite, Batterie 11-16°C, 13,9°C, 19,0%, 31m29s geladen, Solarstrom, Ladeende 4,7°C, Batterie 14-20°C, 17,2°C, RRW 64km, 69,5%",Tesla_Model_S_2015,78.4,11,5,12
7090,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,182281.0,4.93,Electricity,3.0,0,0,1,3.0,13.33,0,0,,-0.1699999999999999,"Noch 4 Balken, 19km Reichweite, Batterie 24-34°C, 29,7°C, 29,0%, Ökostrom, 22m16s, 4,27 kWh, 69,5%, 7m57s, 0,66 kWh, 75,0%, Ladeende 12,5°C, RRW 65km, 12B, Batterie 18-32°C, 25,5°C, 152müNN",Tesla_Model_S_2015,55.0,4,4,26
5147,Volkswagen,Golf,2015,e-Golf,85.0,91608.0,18.29,Electricity,3.0,0,0,1,2.0,12.6,0,0,51.0,-0.0999999999999996,,Tesla_Model_S_2015,138.0,5,6,5
15292,Kia,Soul,2016,Kia Soul EV,60.0,,12.42,Electricity,3.0,0,0,1,3.0,11.77,1,0,,-2.530000000000001,,Tesla_Model_S_2015,84.0,7,6,28
8806,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,91776.0,5.87,Electricity,3.0,1,0,1,3.0,10.19,0,0,,-3.3100000000000005,"Noch 5 Balken, 45km Reichweite, 38,0%, Batterie 31-34°C, 32,4°C, Ökostrom, 19m53s geladen, Ladeende 31,9°C, Batterie 25-36°C, 31,9°C, RRW 113km, 80,5%, 13B",Tesla_Model_S_2015,64.8,8,1,11
11085,Volkswagen,Golf,2014,e-Golf,85.0,18983.0,1.96,Electricity,2.0,1,1,1,2.0,9.8,0,0,42.0,-2.8999999999999986,,Tesla_Model_S_2015,20.0,1,4,8
20003,Nissan,Leaf,2013,Leaf ZE0,80.0,,6.1,Electricity,3.0,0,0,0,2.0,19.5,0,0,,4.5,"0,6",Tesla_Model_S_2015,31.1,1,4,18
26836,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,107597.0,6.6,Electricity,2.0,1,1,1,3.0,15.35,0,1,,2.85,,Tesla_Model_S_2015,43.0,1,0,29
1817,Tesla Motors,Model S,2017,75D,315.0,85518.0,44.5,Electricity,3.0,1,1,0,2.0,24.74,0,0,,9.939999999999998,,Tesla_Model_S_2015,109.0,9,3,24
24840,Hyundai,IONIQ,2018,electric,88.0,44412.0,19.26,Electricity,2.0,0,0,1,2.0,15.3,1,1,,,,Tesla_Model_S_2015,116.0,12,6,22
7559,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,162216.0,2.8,Electricity,3.0,1,0,1,3.0,11.63,1,0,,-1.8699999999999992,"Noch 9 Balken, 55km Reichweite, Ökostrom, 13m55s geladen, Ladeende 36,1°C, RRW 80km, 13B, Autobahn 88km/h, AC1",Tesla_Model_S_2015,40.9,7,5,14
8692,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,99893.0,6.9,Electricity,2.0,1,0,1,3.0,14.05,0,0,,0.5500000000000007,"Noch 8 Balken, 63km Reichweite, 53,0%, Batterie 14-16°C, 14°C, 4h geladen, Mainova Ökostrom Novanatur, Ladeende 8,9°C, Batterie 15-20°C, 16°C, RRW 128km, 99,5%",Tesla_Model_S_2015,49.1,12,3,17
28671,Volkswagen,Golf,2016,e-Golf,85.0,42441.0,6.39,Electricity,2.0,1,0,1,3.0,18.8,0,0,42.0,6.100000000000001,Restreichweite 109km = Total 143km,Tesla_Model_S_2015,34.0,1,1,29
9377,Volkswagen,Golf,2014,e-Golf,85.0,,4.1,Electricity,2.0,1,1,1,2.0,20.4,0,0,52.0,7.699999999999999,,Tesla_Model_S_2015,20.0,12,4,21
11294,Volkswagen,Golf,2014,e-Golf,85.0,,1.7,Electricity,3.0,1,1,1,3.0,8.5,0,0,49.0,-4.199999999999999,,Tesla_Model_S_2015,20.0,9,1,22
6467,Nissan,Leaf,2017,Black Edition,80.0,61175.0,11.03,Electricity,3.0,1,0,1,2.0,18.4,0,0,,3.3999999999999986,,Tesla_Model_S_2015,329.0,5,0,17
26162,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,142613.0,5.3,Electricity,3.0,1,1,1,3.0,12.62,0,0,,0.1199999999999992,,Tesla_Model_S_2015,42.0,7,1,16
7670,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,156696.0,6.1,Electricity,3.0,1,0,1,3.0,12.5,0,0,,-1.0,"Noch 7 Balken, 45km Reichweite, Batterie 19-23°C, 20,4°C, 50,0%, Mainova Ökostrom Novanatur, 2,75h geladen, Ladeende 25,9°C, RRW 99km, Batterie 23-29°C, 24,9°C, 100%",Tesla_Model_S_2015,48.8,5,4,11
19452,Nissan,Leaf,2013,Leaf ZE0,80.0,,4.4,Electricity,1.0,0,0,0,3.0,14.4,0,0,,-0.5999999999999996,"0,6",Tesla_Model_S_2015,30.8,9,1,17
15127,Kia,Soul,2016,Kia Soul EV,60.0,,24.0,Electricity,2.0,1,0,1,3.0,22.26,1,0,,7.960000000000001,,Tesla_Model_S_2015,124.0,12,3,26
28064,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,42315.0,11.2,Electricity,2.0,1,0,1,3.0,14.0,0,0,,1.5,,Tesla_Model_S_2015,80.0,4,6,12
5191,Volkswagen,Golf,2015,e-Golf,85.0,88406.0,5.33,Electricity,2.0,0,0,1,2.0,13.3,0,0,53.0,0.6000000000000014,,Tesla_Model_S_2015,123.0,4,3,11
1372,Volkswagen,Golf,2018,e-Golf,100.0,,13.3,Electricity,3.0,0,1,0,3.0,16.18,1,0,,3.28,,Tesla_Model_S_2015,10.0,9,4,13
6968,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,187694.0,6.4,Electricity,3.0,1,0,1,3.0,12.72,0,0,,-0.7799999999999994,"Noch 7 Balken, 43km Reichweite, 47,5%, Batterie 26-28°C, 26,1°C, Mainova Ökostrom Novanatur, 3h geladen, Ladeende 21,5°C, RRW 104km, 100%, Batterie 28-33°C, 29,4°C",Tesla_Model_S_2015,50.3,7,4,19
2932,Hyundai,IONIQ,2018,Roadrunner,88.0,,0.54,Electricity,1.0,0,0,0,3.0,5.93,0,0,,,,Tesla_Model_S_2015,9.1,9,3,10
3694,Hyundai,IONIQ,2018,Roadrunner,88.0,,12.7,Electricity,1.0,0,0,0,3.0,16.58,0,0,,,,Tesla_Model_S_2015,76.6,1,5,19
31025,Tesla Motors,Model S,2015,Model S85,278.0,97537.0,28.0,Electricity,3.0,0,1,1,3.0,20.58,0,0,,4.479999999999997,,Tesla_Model_S_2015,168.0,7,0,22
19365,Nissan,Leaf,2013,Leaf ZE0,80.0,,3.6,Electricity,1.0,0,0,0,3.0,14.1,0,0,,-0.9000000000000004,"0,8",Tesla_Model_S_2015,25.7,10,2,16
13836,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,45680.0,9.5,Electricity,3.0,1,1,1,3.0,10.39,0,0,,-3.1099999999999994,"Noch 6 Balken, 46 km Reichweite, 3h geladen, Ladeende 33,4°C, 16 B, (35,8% Kernkraft, 41,3% Fossile, 22,9% Erneuerbare. 354 g/kWh CO2-Emission, 0,001 g/kWh radioaktiver Abfall) Meilenwerk Böblingen",Tesla_Model_S_2015,96.5,7,2,10
25472,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,174929.0,6.0,Electricity,2.0,1,1,1,3.0,13.95,0,0,,1.4499999999999993,,Tesla_Model_S_2015,43.0,2,1,23
5499,Volkswagen,Golf,2015,e-Golf,85.0,68851.0,13.92,Electricity,3.0,0,1,0,2.0,13.3,0,0,69.0,0.6000000000000014,,Tesla_Model_S_2015,71.0,8,3,30
29607,Mercedes-Benz,B-Klasse,2015,B250e,132.0,84336.0,11.5,Electricity,3.0,0,1,1,2.0,21.74,0,0,,5.139999999999997,,Tesla_Model_S_2015,13.0,11,4,13
17311,Volkswagen,Golf,2016,e-Golf,85.0,68611.0,14.4,Electricity,2.0,1,1,1,3.0,15.0,0,0,56.0,2.3000000000000007,Restreichweite 40km = Total 136km,Tesla_Model_S_2015,96.0,12,0,21
30431,Mercedes-Benz,B-Klasse,2015,B250e,132.0,19707.0,13.37,Electricity,2.0,1,0,1,2.0,16.25,0,0,,-0.3500000000000014,,Tesla_Model_S_2015,77.0,7,1,4
6695,Nissan,Leaf,2017,Black Edition,80.0,33852.0,24.26,Electricity,3.0,0,1,0,3.0,14.6,0,1,,-0.4000000000000003,,Tesla_Model_S_2015,172.0,4,4,10
3719,Hyundai,IONIQ,2018,Roadrunner,88.0,,3.0,Electricity,1.0,0,0,0,3.0,15.23,0,0,,,,Tesla_Model_S_2015,19.7,12,0,31
4787,Kia,Soul,2016,Kia Soul EV,60.0,,19.0,Electricity,3.0,1,1,0,3.0,15.34,0,0,,1.0399999999999991,,Tesla_Model_S_2015,95.0,10,6,30
23126,Hyundai,IONIQ,2017,Premium,88.0,27416.0,3.15,Electricity,3.0,1,0,0,2.0,11.51,0,0,,,,Tesla_Model_S_2015,27.4,3,1,19
6434,Nissan,Leaf,2017,Black Edition,80.0,68578.0,14.24,Electricity,2.0,1,0,1,2.0,21.1,0,1,,6.100000000000001,,Tesla_Model_S_2015,2.0,12,3,2
2217,Tesla Motors,Model S,2017,75D,315.0,44506.0,21.4,Electricity,2.0,1,1,0,2.0,26.54,0,0,,11.739999999999998,,Tesla_Model_S_2015,100.0,4,6,7
23546,Hyundai,IONIQ,2017,Premium,88.0,9619.0,10.9,Electricity,3.0,0,0,0,2.0,11.88,0,0,,,,Tesla_Model_S_2015,91.7,4,2,18
1475,Tesla Motors,Model S,2017,75D,315.0,120739.0,49.4,Electricity,2.0,1,1,0,2.0,30.99,0,0,,16.189999999999998,,Tesla_Model_S_2015,118.0,3,3,31
17866,Mitsubishi,i-MiEV,2014,i-MiEV,49.0,52854.0,10.26,Electricity,3.0,0,0,1,1.0,15.76,0,0,,3.26,"Noch 4 Balken, 21km Reichweite, Batterie 22-33°C, 28,8°C, 31,5%, 0,357kWh AC, 20m, 6,21kWh DC 22m53s, 80,5%, RRW 67km,  Batterie 26-36°C, 32,8°C, 3,695kWh AC 2h17m geladen, Batterie 24-34°C, 30,0°C, Ladeende 14,3°C, RRW 87km, 100%,  Landstraße 90km/h",Tesla_Model_S_2015,38.2,11,4,12
3043,Hyundai,IONIQ,2018,Roadrunner,88.0,,15.0,Electricity,1.0,0,0,0,3.0,17.69,0,0,,,,Tesla_Model_S_2015,84.8,2,2,5
2080,Tesla Motors,Model S,2017,75D,315.0,59609.0,43.8,Electricity,3.0,1,1,0,2.0,27.04,0,0,,12.239999999999998,,Tesla_Model_S_2015,162.0,9,5,28
7722,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,154494.0,6.81,Electricity,3.0,1,0,0,3.0,12.73,0,0,,-0.7699999999999996,"Noch 1 Balken, 3km Reichweite, Batterie 20-30°C, 25,6°C, 12,5%, Ökostrom, 24m, 67,5%, RRW 65, 13m32s, 78,0%, RRW 77, Ladeende 8,7°C, Batterie 15-29°C, 22,6°C, 13B, Regen",Tesla_Model_S_2015,5.5,4,4,13
1215,Volkswagen,Golf,2018,e-Golf,100.0,,12.2,Electricity,2.0,0,1,0,3.0,14.19,1,0,,1.2899999999999991,,Tesla_Model_S_2015,87.0,1,3,23
18800,Nissan,Leaf,2013,Leaf ZE0,80.0,,0.8,Electricity,1.0,0,0,0,3.0,14.5,0,0,,-0.5,"0,2",Tesla_Model_S_2015,5.5,8,3,13
360,Volkswagen,Golf,2018,e-Golf,100.0,,5.6,Electricity,1.0,0,1,0,3.0,16.95,1,0,,4.049999999999999,,Tesla_Model_S_2015,80.0,4,0,11
2435,Tesla Motors,Model S,2017,75D,315.0,23865.0,27.0,Electricity,3.0,1,1,0,2.0,23.04,0,0,,8.239999999999998,,Tesla_Model_S_2015,180.0,8,3,9
11134,Volkswagen,Golf,2014,e-Golf,85.0,,5.85,Electricity,2.0,1,0,1,2.0,13.3,0,0,28.0,0.6000000000000014,,Tesla_Model_S_2015,44.0,12,5,12
6284,Nissan,Leaf,2017,Black Edition,80.0,78803.0,14.32,Electricity,3.0,1,0,1,2.0,15.1,0,0,,0.0999999999999996,,Tesla_Model_S_2015,30.0,7,6,24
8101,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,135853.0,7.65,Electricity,3.0,1,1,1,3.0,10.99,0,0,,-2.51,"Noch 6 Balken, 38km Reichweite, Mainova Ökostrom Novanatur, 5,25h geladen, Ladeende 31,5°C, RRW 113km, Batterie 32-35°C, 32,5°C, 100%, Autobahn 80km/h",Tesla_Model_S_2015,69.6,6,3,15
7527,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,163672.0,8.67,Electricity,3.0,1,1,1,3.0,12.79,0,0,,-0.7100000000000009,"Noch 5 Balken, 31km Reichweite, Mainova Ökostrom Novanatur, 3,5h geladen, 100%, Ladeende 28,0°C, RRW 106km, Batterie 37-44°C, 38,8°C",Tesla_Model_S_2015,67.8,8,4,3
4598,Kia,Soul,2016,Kia Soul EV,60.0,,5.5,Electricity,2.0,1,0,0,3.0,19.82,0,0,,5.52,,Tesla_Model_S_2015,102.0,3,5,25
19310,Nissan,Leaf,2013,Leaf ZE0,80.0,,2.1,Electricity,1.0,0,0,0,3.0,12.5,0,0,,-2.5,"0,5",Tesla_Model_S_2015,17.1,10,3,31
4278,Kia,Soul,2016,Kia Soul EV,60.0,,17.0,Electricity,2.0,1,1,0,3.0,16.92,1,0,,2.620000000000001,,Tesla_Model_S_2015,83.0,2,3,8
16844,Volkswagen,Golf,2016,e-Golf,85.0,95949.0,9.44,Electricity,3.0,1,0,1,3.0,16.0,1,0,26.0,3.3000000000000007,Reichweite 100% = 127km,Tesla_Model_S_2015,59.0,10,6,2
18768,Nissan,Leaf,2013,Leaf ZE0,80.0,,2.3,Electricity,1.0,0,0,0,3.0,13.2,0,0,,-1.8000000000000007,"0,6",Tesla_Model_S_2015,17.2,8,6,30
11767,Volkswagen,Golf,2014,e-Golf,85.0,,1.23,Electricity,2.0,1,0,0,2.0,30.8,1,1,18.0,18.1,,Tesla_Model_S_2015,4.0,1,2,14
25854,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,157628.0,5.8,Electricity,2.0,1,1,1,3.0,13.49,0,1,,0.9900000000000002,,Tesla_Model_S_2015,43.0,3,3,19
8294,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,125146.0,8.14,Electricity,2.0,1,0,1,3.0,15.45,0,0,,1.9499999999999995,"Noch 6 Balken, 37km Reichweite, 5h geladen, Mainova Ökostrom Novanatur, Ladeende -0,7°C, Batterie 5-10°C, 7,4°C, RRW 102km, 99,5%",Tesla_Model_S_2015,52.7,1,2,25
14313,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,4878.0,6.5,Electricity,3.0,1,0,1,3.0,12.24,0,0,,-1.2599999999999998,"noch 7 Balken, Teilbetankung in 120 Minuten von 7 Balken auf 13 Balken, geschätzt 6,5kWh, entega Ökostrom Naturpur gratis.",Tesla_Model_S_2015,84.9,8,2,17
3147,Hyundai,IONIQ,2018,Roadrunner,88.0,,0.77,Electricity,1.0,0,0,0,3.0,21.39,0,0,,,,Tesla_Model_S_2015,3.6,11,1,12
3860,Hyundai,IONIQ,2018,Roadrunner,88.0,,12.4,Electricity,1.0,0,0,0,3.0,16.02,0,0,,,,Tesla_Model_S_2015,77.4,10,2,24
6062,Volkswagen,Golf,2015,e-Golf,85.0,29671.0,6.4,Electricity,2.0,1,0,0,2.0,22.0,0,1,22.0,9.3,,Tesla_Model_S_2015,1.0,11,0,13
22743,Hyundai,IONIQ,2017,Premium,88.0,49213.0,2.19,Electricity,3.0,1,0,0,2.0,9.72,0,0,,,,Tesla_Model_S_2015,22.5,9,5,5
10305,Volkswagen,Golf,2014,e-Golf,85.0,,3.6,Electricity,2.0,1,1,1,2.0,18.2,0,0,48.0,5.5,,Tesla_Model_S_2015,20.0,3,0,27
177,Volkswagen,Golf,2018,e-Golf,100.0,,23.0,Electricity,1.0,0,1,0,3.0,16.87,1,0,,3.9700000000000006,,Tesla_Model_S_2015,94.0,9,5,18
3808,Hyundai,IONIQ,2018,Roadrunner,88.0,,12.9,Electricity,1.0,0,0,0,3.0,14.33,0,0,,,,Tesla_Model_S_2015,90.0,11,6,18
31497,Tesla Motors,Model S,2015,Model S85,278.0,36936.0,50.0,Electricity,3.0,0,1,1,3.0,23.37,0,0,,7.27,,Tesla_Model_S_2015,169.0,7,5,29
19051,Nissan,Leaf,2013,Leaf ZE0,80.0,,4.1,Electricity,1.0,0,0,0,3.0,12.9,0,0,,-2.1,"0,7",Tesla_Model_S_2015,32.0,1,3,23
24142,Hyundai,IONIQ,2018,electric,88.0,100998.0,11.76,Electricity,3.0,0,1,1,2.0,13.4,1,0,,,,Tesla_Model_S_2015,102.0,7,0,26
692,Volkswagen,Golf,2018,e-Golf,100.0,,7.0,Electricity,1.0,0,1,0,3.0,13.43,1,0,,0.5299999999999994,,Tesla_Model_S_2015,76.0,7,0,12
9962,Volkswagen,Golf,2014,e-Golf,85.0,56334.0,18.3,Electricity,3.0,0,1,0,2.0,13.1,0,0,53.0,0.4000000000000003,,Tesla_Model_S_2015,140.0,10,5,7
4466,Kia,Soul,2016,Kia Soul EV,60.0,,35.0,Electricity,3.0,1,0,0,3.0,16.77,0,0,,2.469999999999999,,Tesla_Model_S_2015,316.0,8,6,20
14190,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,15414.0,0.55,Electricity,2.0,1,0,1,3.0,12.91,0,0,,-0.5899999999999999,"Ökostrom P&amp;C, 11 Minuten geladen, 8 Balken, 68km",Tesla_Model_S_2015,10.8,3,6,4
26225,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,138823.0,5.2,Electricity,3.0,1,1,1,3.0,12.38,0,0,,-0.1199999999999992,,Tesla_Model_S_2015,42.0,5,4,17
30117,Mercedes-Benz,B-Klasse,2015,B250e,132.0,45616.0,24.65,Electricity,3.0,0,1,0,2.0,14.5,0,0,,-2.1000000000000014,,Tesla_Model_S_2015,56.0,8,1,21
7644,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,158076.0,7.01,Electricity,3.0,0,1,0,3.0,11.49,1,0,,-2.01,"Noch 2 Balken, 11km Reichweite, 20,0%, Batterie 30-39°C, 35,9°C, Ökostrom, 25m, 73% geladen, 15m, 83,5% geladen, max. 43kW, Ladeende 34,6°C, RRW 79km, 14B, Batterie 21-38°C, 31,1°C, Autobahn 80km/h, AC Stufe 1",Tesla_Model_S_2015,52.8,5,2,30
27499,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,73808.0,5.0,Electricity,2.0,1,1,1,1.0,11.9,0,0,,-0.5999999999999996,,Tesla_Model_S_2015,42.0,7,1,5
4437,Kia,Soul,2016,Kia Soul EV,60.0,,7.78,Electricity,3.0,1,1,0,3.0,16.11,0,0,,1.8099999999999987,,Tesla_Model_S_2015,99.0,9,4,15
6530,Nissan,Leaf,2017,Black Edition,80.0,55701.0,19.15,Electricity,2.0,0,0,1,2.0,16.9,0,1,,1.8999999999999984,,Tesla_Model_S_2015,101.0,12,5,19
7352,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,171184.0,6.05,Electricity,3.0,1,0,1,3.0,12.74,0,0,,-0.7599999999999998,"Noch 8 Balken, 48km Reichweite, Mainova Ökostrom Novanatur, 1,75h geladen, 0,78kWh, 64%, 2,25h geladen, 5,27kWh, 100%, Ladeende 14,7°C, RRW 102km, Batterie 21-27°C, 23,7°C",Tesla_Model_S_2015,47.5,10,3,11
15167,Kia,Soul,2016,Kia Soul EV,60.0,,26.0,Electricity,2.0,1,0,1,3.0,15.46,1,0,,1.16,,Tesla_Model_S_2015,240.0,11,4,29
1230,Volkswagen,Golf,2018,e-Golf,100.0,,13.5,Electricity,2.0,0,1,0,3.0,18.09,1,0,,5.19,,Tesla_Model_S_2015,2.0,1,6,12
3253,Hyundai,IONIQ,2018,Roadrunner,88.0,,7.03,Electricity,1.0,0,0,0,3.0,14.68,0,0,,,,Tesla_Model_S_2015,47.9,9,5,7
10853,Volkswagen,Golf,2014,e-Golf,85.0,,1.58,Electricity,3.0,1,1,1,2.0,7.9,0,0,41.0,-4.799999999999999,,Tesla_Model_S_2015,20.0,5,2,4
18919,Nissan,Leaf,2013,Leaf ZE0,80.0,,10.2,Electricity,1.0,0,0,0,3.0,15.8,0,0,,0.8000000000000007,"0,6",Tesla_Model_S_2015,64.6,5,5,30
5894,Volkswagen,Golf,2015,e-Golf,85.0,40457.0,17.64,Electricity,2.0,0,1,0,2.0,14.8,0,1,72.0,2.1000000000000014,,Tesla_Model_S_2015,86.0,2,4,2
29789,Mercedes-Benz,B-Klasse,2015,B250e,132.0,71770.0,5.0,Electricity,3.0,1,1,1,3.0,16.58,0,0,,-0.0200000000000031,,Tesla_Model_S_2015,70.0,10,1,15
7091,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,182226.0,9.11,Electricity,3.0,0,0,1,2.0,13.33,0,0,,-0.1699999999999999,"Noch 0 Balken, 3km Reichweite, 12,5%, Batterie 22-31°C, 27,5°C, 3h20m geladen, Ladeende 11,2°C, RRW 83km, 94,5%, Batterie 21-30°C, 25,7°C, 16B, 186müNN<br />",Tesla_Model_S_2015,56.1,4,4,26
25896,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,155605.0,9.6,Electricity,2.0,1,1,1,3.0,17.78,0,1,,5.280000000000001,,Tesla_Model_S_2015,54.0,2,2,19
23613,Hyundai,IONIQ,2017,Premium,88.0,8169.0,11.81,Electricity,3.0,1,1,0,2.0,13.1,0,0,,,,Tesla_Model_S_2015,90.1,3,3,15
14947,Kia,Soul,2016,Kia Soul EV,60.0,,2.5,Electricity,3.0,1,0,1,3.0,15.3,1,0,,1.0,,Tesla_Model_S_2015,50.0,5,3,28
