,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
27995,35.0,12.6,46529.0,3.0,0,0,1,3.0,14.48,1,0,1.9800000000000004,87.0,6,0,15
7692,49.0,6.25,155732.0,3.0,1,0,1,1.0,11.75,0,0,-1.75,49.1,4,3,26
31589,278.0,55.0,25110.0,2.0,1,1,1,1.0,25.35,0,0,9.25,217.0,2,4,17
26775,35.0,6.3,110682.0,2.0,1,1,1,1.0,15.0,0,1,2.5,42.0,3,0,12
17975,49.0,11.15,44908.0,3.0,1,1,1,1.0,11.97,0,0,-0.5299999999999994,44.6,8,5,7
27872,35.0,6.1,53734.0,3.0,1,1,1,3.0,14.52,0,1,2.02,42.0,9,2,30
22884,88.0,14.22,42693.0,3.0,1,1,1,2.0,13.81,0,0,2.306997751726371,103.0,1,6,12
6281,80.0,14.0,79285.0,3.0,1,0,1,2.0,22.22,0,0,7.219999999999999,63.0,8,2,3
10591,85.0,4.77,32815.0,3.0,0,1,0,2.0,11.1,0,0,-1.5999999999999996,43.0,10,5,1
30688,278.0,18.12,130720.0,3.0,0,0,1,1.0,21.27,0,0,5.169999999999998,80.0,6,1,8
27002,35.0,5.6,98766.0,3.0,1,1,1,1.0,13.33,0,0,0.8300000000000001,42.0,7,2,26
31710,278.0,50.0,11252.0,3.0,0,1,1,1.0,21.04,0,0,4.939999999999998,284.0,7,0,18
17588,49.0,11.4,69572.0,3.0,1,1,1,1.0,12.15,0,0,-0.3499999999999996,93.8,8,5,20
26175,35.0,5.5,141940.0,3.0,1,1,1,3.0,13.1,0,0,0.5999999999999996,42.0,7,0,8
27388,35.0,5.4,79324.0,2.0,1,1,1,1.0,12.27,0,0,-0.2300000000000004,44.0,10,1,4
29927,132.0,12.56,61066.0,1.0,1,0,1,2.0,14.53,0,0,-2.070000000000002,73.0,5,2,8
27447,35.0,7.2,76546.0,2.0,1,1,1,1.0,14.12,1,0,1.6199999999999992,51.0,8,2,24
7216,49.0,7.3,176926.0,2.0,1,0,1,1.0,14.63,0,0,1.1300000000000008,49.9,2,2,6
7163,49.0,2.3,179298.0,2.0,1,0,1,1.0,12.98,0,0,-0.5199999999999996,40.9,3,4,22
18094,49.0,8.74,38126.0,3.0,1,0,1,3.0,13.74,0,0,1.2400000000000002,63.6,4,3,15
6707,80.0,19.55,32448.0,3.0,0,1,0,1.0,17.98,0,1,2.9800000000000004,128.0,4,3,2
29173,132.0,6.72,107481.0,3.0,1,0,1,1.0,16.0,0,0,-0.6000000000000014,42.0,6,1,28
31404,278.0,64.0,46900.0,2.0,1,1,1,1.0,24.74,0,0,8.639999999999997,58.0,1,1,2
5650,85.0,1.0,57393.0,3.0,0,1,0,2.0,13.5,1,0,0.8000000000000007,23.0,6,5,2
6563,80.0,3.61,53200.0,3.0,0,0,1,2.0,20.79,0,0,5.789999999999999,50.0,10,1,20
30993,278.0,39.0,101569.0,3.0,1,0,1,1.0,20.22,0,0,4.119999999999997,137.0,9,3,19
31127,278.0,8.0,82465.0,2.0,1,0,1,1.0,25.96,0,0,9.86,41.0,3,0,4
26001,35.0,6.2,150427.0,2.0,1,1,1,1.0,14.76,0,1,2.26,42.0,11,2,27
7771,49.0,7.0,152217.0,2.0,1,0,1,1.0,13.92,0,0,0.4199999999999999,50.3,3,0,5
5452,85.0,6.5,72138.0,3.0,0,1,0,2.0,11.0,0,0,-1.6999999999999993,24.0,9,3,20
18611,49.0,6.34,10129.0,2.0,0,1,0,1.0,15.0,0,0,2.5,36.4,12,4,6
6030,85.0,10.4,31730.0,2.0,0,1,0,2.0,15.5,0,1,2.8000000000000007,82.0,12,4,1
8788,49.0,9.3,93309.0,3.0,0,0,1,3.0,12.97,0,0,-0.5299999999999994,71.7,9,5,5
29466,132.0,3.0,92200.0,3.0,1,1,1,2.0,17.16,0,0,0.5599999999999987,69.0,6,4,25
30235,132.0,21.03,35967.0,3.0,0,1,0,3.0,19.0,0,1,2.3999999999999986,130.0,3,6,11
