,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
7620,80.0,13.57,21887.0,3.0,1,0,1,1.0,13.38,1,0,-1.6199999999999992,291.0,10,4,18
6422,85.0,10.23,103183.0,3.0,0,1,1,1.0,14.3,0,0,1.6000000000000014,84.0,7,3,18
18966,35.0,12.5,130363.0,2.0,1,1,1,1.0,19.53,0,1,7.030000000000001,64.0,1,6,13
2443,278.0,5.0,63522.0,3.0,0,0,1,1.0,21.88,0,0,5.779999999999998,20.0,7,1,10
13201,85.0,7.15,18764.0,2.0,1,1,1,1.0,14.6,1,0,1.9000000000000004,49.0,1,4,1
22216,278.0,23.0,44303.0,2.0,1,0,1,1.0,27.02,0,0,10.919999999999998,50.0,11,6,26
20815,132.0,23.7,36509.0,3.0,1,1,1,3.0,24.21,0,1,7.609999999999999,65.0,3,1,20
2564,278.0,15.0,149011.0,3.0,0,1,1,1.0,21.56,0,0,5.459999999999997,38.0,7,6,24
20287,35.0,5.8,22303.0,3.0,0,0,1,3.0,14.15,0,0,1.6500000000000004,41.0,6,4,6
16922,88.0,7.53,9060.0,3.0,0,0,1,2.0,13.0,0,0,2.3533633947983073,57.9,4,6,8
10032,49.0,7.8,135512.0,3.0,1,0,1,1.0,11.85,0,0,-1.6500000000000004,65.8,6,4,9
22837,278.0,48.0,68574.0,3.0,0,1,0,1.0,20.55,0,0,4.449999999999999,187.0,9,6,2
9447,49.0,7.14,156858.0,3.0,1,0,1,1.0,11.07,0,0,-2.43,20.6,5,0,14
12537,85.0,1.8,59602.0,2.0,1,1,1,2.0,9.0,0,0,-3.6999999999999993,20.0,11,2,15
20710,35.0,5.6,124632.0,2.0,1,1,1,1.0,13.33,0,0,0.8300000000000001,42.0,10,4,12
9195,49.0,8.79,132779.0,3.0,1,1,1,1.0,11.88,0,0,-1.6199999999999992,74.0,5,5,13
19709,35.0,8.8,109799.0,2.0,1,1,1,1.0,20.95,0,1,8.45,42.0,2,2,28
23063,278.0,15.0,60881.0,3.0,1,0,1,1.0,19.33,0,0,3.229999999999997,43.0,6,1,19
20129,35.0,4.9,113789.0,3.0,1,1,1,1.0,11.95,0,0,-0.5500000000000007,41.0,4,2,25
21042,132.0,3.0,99595.0,3.0,1,0,0,2.0,20.14,0,0,3.539999999999999,5.0,10,5,30
21159,132.0,15.0,69709.0,3.0,0,1,1,1.0,18.3,1,0,1.6999999999999993,89.0,9,1,10
18334,35.0,12.3,72486.0,2.0,0,0,1,1.0,14.14,0,0,1.6400000000000006,87.0,6,0,20
6765,85.0,9.86,70560.0,3.0,0,1,0,1.0,13.2,0,0,0.5,72.0,9,0,10
9610,49.0,10.2,110406.0,3.0,1,0,1,1.0,10.71,0,0,-2.789999999999999,64.2,6,4,3
20199,35.0,8.5,173049.0,2.0,1,1,1,1.0,20.24,0,1,7.739999999999998,42.0,1,4,22
21541,132.0,3.88,65143.0,3.0,1,1,1,2.0,17.85,1,0,1.25,61.0,7,1,2
9137,49.0,10.59,61591.0,3.0,1,0,1,1.0,10.68,0,0,-2.8200000000000003,99.2,4,4,25
14273,49.0,6.65,31296.0,2.0,1,0,1,1.0,15.43,0,1,2.93,48.7,11,0,30
6663,85.0,16.63,39175.0,2.0,0,1,0,2.0,13.9,0,1,1.200000000000001,40.0,1,3,25
17818,35.0,7.0,171158.0,2.0,1,1,1,1.0,16.67,0,1,4.170000000000002,42.0,12,4,11
7338,85.0,8.35,20591.0,3.0,0,1,0,2.0,11.5,0,0,-1.1999999999999993,83.0,9,0,4
18597,35.0,13.5,131173.0,2.0,1,1,1,1.0,18.24,0,1,5.739999999999998,74.0,1,3,24
