id,y,power(kW),quantity(kWh),odometer,consumption(kWh/100km),ecr_deviation,month,weekday,day,tire_type,city,motor_way,country_roads,driving_style,A/C,park_heating
131,-0.19572953736654802,1.205128205128205,-0.36781609195402293,-0.5042248359748835,1.142608695652174,0.3616044022444724,-0.5,0.0,-0.5333333333333333,3.0,1,1,1,2.0,0,1
133,-0.38078291814946613,0.07692307692307693,-0.27011494252873564,-0.938350516916962,0.5826086956521735,0.0,-0.8333333333333334,1.0,-0.6,3.0,1,0,0,2.0,0,0
138,1.298932384341637,5.897435897435898,-0.4367816091954022,0.37971374005454583,1.4591304347826088,1.1918796316022713,0.0,1.0,-0.6666666666666666,3.0,1,1,0,2.0,0,0
141,-0.889679715302491,5.897435897435898,-0.9655172413793103,0.07108577227464605,4.471304347826087,5.164356695822457,-0.3333333333333333,0.6666666666666666,-0.3333333333333333,2.0,1,1,0,2.0,0,0
142,0.6761565836298932,0.0,0.35977011494252886,0.5710470123115737,-0.12000000000000022,-0.4090377995903903,0.5,-1.0,0.0,3.0,0,1,1,2.0,0,1
146,2.7580071174377223,5.897435897435898,6.114942528735633,-0.4671703112777398,1.9373913043478261,1.8226135765564,-0.8333333333333334,0.3333333333333333,0.13333333333333333,2.0,1,1,0,2.0,0,0
147,0.8540925266903914,5.897435897435898,3.2873563218390807,0.5447043319544183,3.5843478260869563,3.9946319251802542,0.6666666666666666,-0.3333333333333333,-0.2,3.0,1,1,0,2.0,0,0
148,1.886120996441281,5.897435897435898,1.8850574712643682,0.045983410735805044,1.892173913043478,1.7629805490334642,-0.5,-1.0,0.4666666666666667,2.0,1,1,0,2.0,0,0
149,4.9288256227758005,5.897435897435898,5.689655172413794,-0.8904150134955144,0.7721739130434778,0.2859163288499765,-0.6666666666666666,-0.6666666666666666,-0.2,2.0,1,1,0,2.0,0,0
150,1.3167259786476868,1.205128205128205,-0.9425287356321839,0.09184701794938653,-0.147826086956522,-1.3402304601408501,-0.6666666666666666,-1.0,0.06666666666666667,1.0,1,0,1,2.0,0,0
151,-0.5871886120996441,-0.1282051282051282,0.2712643678160921,-0.024700667376091445,0.5547826086956518,-0.04665247848947308,1.0,0.3333333333333333,0.5333333333333333,2.0,1,0,1,2.0,0,1
156,0.0,5.897435897435898,3.2068965517241383,0.6503146604274872,3.953043478260869,4.480870457290346,-0.6666666666666666,-1.0,-0.6,2.0,1,1,0,2.0,0,0
164,0.4270462633451957,0.0,0.10689655172413812,0.31641519672443075,-0.32869565217391317,-0.6842671573885555,-0.16666666666666666,-0.6666666666666666,0.3333333333333333,3.0,0,1,1,2.0,0,0
166,-0.16014234875444838,0.07692307692307693,0.18735632183908058,-0.4210811915517375,0.07130434782608698,0.0,0.8333333333333334,-0.3333333333333333,0.7333333333333333,2.0,0,1,1,2.0,1,1
169,-0.4626334519572953,0.0,0.033333333333333444,0.08503935898068345,0.2278260869565215,0.04967779673988516,0.6666666666666666,-0.3333333333333333,0.5333333333333333,3.0,0,1,0,2.0,0,1
175,-0.4448398576512455,0.0,-0.2528735632183907,-0.3459291467875038,1.1147826086956523,1.2194025673820879,-0.5,0.6666666666666666,0.06666666666666667,2.0,0,0,1,2.0,0,1
176,0.7081850533807829,0.07692307692307693,0.49195402298850593,-0.5968118168556509,-0.1530434782608697,0.0,-0.3333333333333333,1.0,-0.13333333333333333,3.0,1,1,1,2.0,0,0
180,0.16014234875444838,1.205128205128205,0.5517241379310346,-0.5141332919893727,1.026086956521739,0.20793467747382968,-0.6666666666666666,0.0,0.4,3.0,1,1,1,2.0,0,1
181,1.2099644128113878,0.0,0.9494252873563221,0.3855488763134342,-0.2591304347826087,-0.5925240381225002,0.0,1.0,0.4666666666666667,3.0,0,1,1,2.0,0,0
183,0.49822064056939497,-0.1282051282051282,0.8344827586206899,0.028196111318613944,1.1147826086956523,0.691879631602271,-0.5,0.0,1.0,2.0,1,0,1,2.0,0,1
191,3.1138790035587185,5.897435897435898,3.3390804597701154,0.20471603041600012,0.32869565217391317,-0.2989460564711241,0.6666666666666666,0.0,-1.0,3.0,1,1,0,2.0,0,0
193,-0.32028469750889677,-1.2820512820512822,-0.32183908045977,-0.44767757348536635,0.1478260869565217,-0.009955230783050599,-0.5,0.3333333333333333,-0.6666666666666666,2.0,1,1,1,2.0,0,1
198,0.7295373665480427,0.0,0.610344827586207,0.021134750773437443,-0.2417391304347827,-0.5695882583059866,0.5,-0.3333333333333333,0.6666666666666666,3.0,0,1,0,2.0,0,0
200,0.7829181494661921,0.0,1.0919540229885059,0.544690237422392,-0.1721739130434783,-0.47784513903993137,0.5,-0.6666666666666666,-0.8666666666666667,3.0,0,1,1,2.0,0,0
205,0.10676156583629892,0.07692307692307693,0.6160919540229887,0.29437134863529696,-0.08521739130434787,0.0,-0.16666666666666666,-1.0,-0.8666666666666667,3.0,0,1,1,2.0,1,1
206,1.3665480427046264,0.07692307692307693,0.9827586206896554,-0.8698792803331947,-0.24521739130434786,0.0,-0.3333333333333333,0.3333333333333333,0.26666666666666666,3.0,0,0,0,2.0,0,0
208,0.5640569395017794,0.07692307692307693,0.5218390804597702,-0.713880999866102,0.10260869565217388,0.0,0.8333333333333334,-1.0,0.6666666666666666,3.0,1,1,1,2.0,0,0
210,1.4412811387900355,5.897435897435898,2.942528735632184,0.8218169261235104,1.7895652173913041,1.627659448116033,0.3333333333333333,-0.3333333333333333,0.06666666666666667,3.0,1,1,0,2.0,0,0
212,0.9074733096085409,0.07692307692307693,0.3586206896551726,-0.802183243010874,-0.5721739130434784,0.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,3.0,0,0,0,2.0,0,0
214,2.4555160142348753,0.0,1.4459770114942532,-0.9001966187217669,-0.5895652173913044,-1.028303854636262,0.0,0.6666666666666666,-0.6666666666666666,3.0,0,1,0,2.0,0,0
215,-0.38078291814946613,0.07692307692307693,-0.29195402298850565,-0.938350516916962,0.4956521739130431,0.0,-0.8333333333333334,1.0,-0.6,3.0,0,0,0,2.0,0,0
222,0.4270462633451957,0.0,0.1091954022988507,0.3253088464330263,-0.1721739130434783,-0.47784513903993137,-0.16666666666666666,0.3333333333333333,0.5333333333333333,3.0,0,1,1,2.0,0,1
223,1.085409252669039,0.07692307692307693,0.7839080459770116,-0.7418304568742556,-0.15478260869565227,0.0,-0.16666666666666666,0.3333333333333333,-0.4,3.0,0,1,1,2.0,1,0
226,0.19572953736654802,5.897435897435898,0.06896551724137948,-0.534697214215745,1.4260869565217391,1.1483016499508947,0.8333333333333334,-0.3333333333333333,-0.6,2.0,1,1,0,2.0,0,0
232,-0.05338078291814946,0.07692307692307693,0.2298850574712644,-0.23528707038104568,0.0017391304347825717,0.0,-0.5,0.6666666666666666,0.3333333333333333,2.0,0,1,1,2.0,1,1
233,-0.3380782918149466,1.205128205128205,-0.2528735632183907,-0.5737672569926497,1.0886956521739126,0.29050348481327914,1.0,0.6666666666666666,0.4666666666666667,3.0,1,1,1,2.0,0,0
